season,player,team,position,games,minutes,fga,fgm,fta,ftm,pts,ast,reb,stl,blk,tov
2019-20,Daniel Gafford,CHI,UNK,43,14.2,3.1,2.2,1.4,0.7,5.1,0.5,2.5,0.3,1.3,0.7
2019-20,Daniel Theis,BOS,UNK,65,24.1,6.6,3.7,1.8,1.3,9.2,1.7,6.6,0.6,1.3,0.8
2019-20,Danilo Gallinari,OKC,UNK,62,29.6,13.2,5.8,4.8,4.3,18.7,1.9,5.2,0.7,0.1,1.2
2019-20,Danny Green,LAL,UNK,68,24.8,7.0,2.9,0.7,0.5,8.0,1.3,3.3,1.3,0.5,0.9
2019-20,Danté Exum,CLE,UNK,35,13.9,3.4,1.6,1.2,0.9,4.5,1.1,1.9,0.4,0.2,0.9
2019-20,Danuel House Jr.,HOU,UNK,63,30.4,8.6,3.7,1.4,1.2,10.5,1.3,4.2,1.1,0.5,0.9
2019-20,Dario Šarić,PHX,UNK,66,24.7,8.2,3.9,1.9,1.6,10.7,1.9,6.2,0.6,0.2,1.3
2019-20,Darius Bazley,OKC,UNK,61,18.5,5.2,2.0,1.0,0.7,5.6,0.7,4.0,0.4,0.7,0.7
2019-20,Darius Garland,CLE,UNK,59,30.9,11.8,4.7,1.2,1.1,12.3,3.9,1.9,0.7,0.1,2.6
2019-20,Daryl Macon,MIA,UNK,4,3.5,0.8,0.3,0.0,0.0,0.8,0.3,0.0,0.0,0.0,0.5
2019-20,David Nwaba,HOU,UNK,20,13.4,3.6,1.9,1.4,0.9,5.2,0.4,2.3,0.6,0.6,0.4
2019-20,Davis Bertans,WAS,UNK,54,29.3,11.3,4.9,2.3,1.9,15.4,1.7,4.5,0.7,0.6,1.1
2019-20,De'Aaron Fox,SAC,UNK,51,32.0,16.0,7.7,6.7,4.7,21.1,6.8,3.8,1.5,0.5,3.1
2019-20,De'Andre Hunter,ATL,UNK,63,32.0,10.8,4.4,2.3,1.7,12.3,1.8,4.5,0.7,0.3,1.6
2019-20,De'Anthony Melton,MEM,UNK,60,19.5,6.7,2.7,2.0,1.6,7.6,2.9,3.7,1.3,0.3,1.4
2019-20,DeAndre Jordan,BKN,UNK,56,22.0,5.1,3.4,2.2,1.5,8.3,1.9,10.0,0.3,0.9,1.3
2019-20,DeAndre' Bembry,ATL,UNK,43,21.3,5.3,2.4,1.1,0.6,5.8,1.9,3.5,1.3,0.4,1.4
2019-20,DeMar DeRozan,SAS,UNK,68,34.1,15.4,8.2,6.6,5.6,22.1,5.6,5.5,1.0,0.3,2.4
2019-20,DeMarre Carroll,HOU,UNK,24,12.1,2.8,1.0,1.8,1.2,3.6,1.0,2.3,0.3,0.2,0.7
2019-20,Dean Wade,CLE,UNK,12,6.0,1.1,0.8,0.1,0.0,1.7,0.2,1.6,0.2,0.3,0.3
2019-20,Deandre Ayton,PHX,UNK,38,32.5,14.9,8.2,2.3,1.8,18.2,1.9,11.5,0.7,1.5,2.1
2019-20,Dejounte Murray,SAS,UNK,66,25.6,9.7,4.5,1.7,1.4,10.9,4.1,5.8,1.7,0.3,1.9
2019-20,Delon Wright,DAL,UNK,73,21.5,5.6,2.6,1.4,1.1,6.9,3.3,3.8,1.2,0.3,1.0
2019-20,Dennis Schröder,OKC,UNK,65,30.8,14.8,7.0,3.6,3.0,18.9,4.0,3.6,0.7,0.2,2.6
2019-20,Dennis Smith Jr.,NYK,UNK,34,15.8,6.2,2.1,1.6,0.8,5.5,2.9,2.3,0.8,0.2,1.7
2019-20,Denzel Valentine,CHI,UNK,36,13.6,6.6,2.7,0.2,0.2,6.8,1.2,2.1,0.7,0.2,0.7
2019-20,Deonte Burton,OKC,UNK,39,9.1,3.2,1.1,0.4,0.2,2.7,0.4,1.5,0.2,0.3,0.5
2019-20,Derrick Favors,NOP,UNK,51,24.4,6.6,4.1,1.4,0.8,9.0,1.6,9.8,0.6,0.9,1.1
2019-20,Derrick Jones Jr.,MIA,UNK,59,23.3,5.9,3.1,2.1,1.6,8.5,1.1,3.9,1.0,0.6,0.5
2019-20,Derrick Rose,DET,UNK,50,26.0,15.1,7.4,2.8,2.4,18.1,5.6,2.4,0.8,0.3,2.5
2019-20,Derrick Walton Jr.,DET,UNK,26,9.6,1.5,0.7,0.3,0.3,2.0,1.0,0.6,0.3,0.0,0.2
2019-20,Derrick White,SAS,UNK,68,24.7,8.1,3.7,3.1,2.6,11.3,3.5,3.3,0.6,0.9,1.3
2019-20,Devin Booker,PHX,UNK,70,35.9,18.3,9.0,7.3,6.7,26.6,6.5,4.2,0.7,0.3,3.8
2019-20,Devon Hall,OKC,UNK,11,7.3,2.7,0.5,0.7,0.4,1.8,1.2,0.6,0.4,0.1,0.5
2019-20,Devontae Cacok,LAL,UNK,1,8.9,6.0,3.0,0.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0
2019-20,Devonte' Graham,CHA,UNK,63,35.1,15.3,5.8,3.7,3.0,18.2,7.5,3.4,1.0,0.2,2.9
2019-20,Dewan Hernandez,TOR,UNK,6,4.7,2.3,0.8,0.8,0.5,2.3,0.5,2.3,0.2,0.0,0.5
2019-20,Dewayne Dedmon,ATL,UNK,44,17.6,5.8,2.3,0.8,0.7,5.8,0.5,5.7,0.6,0.9,1.3
2019-20,Dillon Brooks,MEM,UNK,73,28.9,14.6,6.0,2.8,2.2,16.2,2.1,3.3,0.9,0.4,1.7
2019-20,Dion Waiters,LAL,UNK,10,20.7,9.9,4.1,1.7,1.4,11.1,2.0,2.4,0.4,0.6,1.6
